Island,FieldPeriodID,BreedGroupID,Status,BirdID,NSA_Birds,TerritoryNumber
CN,87,4529,NSA,5009,1,33.1
CN,87,4531,NSA,4961,1,35
CN,87,4532,NSA,5170,1,37
CN,87,4560,NSA,5174,1,59
CN,87,4587,NSA,4863,1,92
CN,87,4587,NSA,5174,1,92
CN,87,4589,NSA,5116,1,93
CN,87,4603,NSA,2976,1,116
CN,87,4623,NSA,5116,1,103.1
CN,90,4096,NSA,5009,1,33.1
CN,90,4111,NSA,1669,1,47.1
CN,90,4152,NSA,5254,1,88
CN,90,4171,NSA,5254,1,120
CN,92,4751,NSA,5213,1,51.2
CN,92,4755,NSA,5194,1,54
CN,92,4792,NSA,5080,1,101.1
CN,92,4805,NSA,5194,1,122
CN,103,5484,NSA,3086,1,2
CN,103,5485,NSA,5462,1,3
CN,103,5489,NSA,5339,1,6
CN,103,5492,NSA,5313,1,8
CN,103,5493,NSA,5284,1,9
CN,103,5497,NSA,5287,1,17
CN,103,5497,NSA,5457,1,17
CN,103,5500,NSA,1852,1,20
CN,103,5502,NSA,5333,1,22
CN,103,5514,NSA,5455,1,33
CN,103,5515,NSA,5237,1,33.1
CN,103,5515,NSA,5335,1,33.1
CN,103,5516,NSA,5237,1,34.5
CN,103,5521,NSA,5321,1,41
CN,103,5524,NSA,5321,1,43
CN,103,5529,NSA,1669,1,47.1
CN,103,5530,NSA,5335,1,48
CN,103,5533,NSA,5341,1,51.1
CN,103,5537,NSA,5194,1,54
CN,103,5540,NSA,5287,1,57.1
CN,103,5558,NSA,1685,1,81
CN,103,5559,NSA,5242,1,82.1
CN,103,5562,NSA,3596,1,85
CN,103,5564,NSA,5323,1,87
CN,103,5566,NSA,5291,1,88
CN,103,5568,NSA,5323,1,92.1
CN,103,5573,NSA,5452,1,101
CN,103,5576,NSA,5341,1,103.1
CN,103,5578,NSA,5291,1,108
CN,103,5580,NSA,5333,1,111
CN,103,5583,NSA,5145,1,116
CN,103,5585,NSA,5457,1,120
CN,103,5587,NSA,5194,1,122
CN,105,5094,NSA,1791,1,10
CN,105,5106,NSA,1791,1,30.2
CN,105,5186,NSA,1791,1,30.1
CN,112,5696,NSA,5658,1,32
CN,112,5697,NSA,5611,1,32.5
CN,112,5705,NSA,5640,1,41
CN,112,5707,NSA,5633,1,42
CN,112,5715,NSA,5564,1,49
CN,112,5729,NSA,3595,1,60.1
CN,112,5733,NSA,5118,1,65
CN,112,5733,NSA,5633,1,65
CN,112,5735,NSA,5564,1,67
CN,112,5736,NSA,5594,1,68
CN,112,5737,NSA,5653,1,69
CN,112,5744,NSA,5242,1,82.1
CN,112,5750,NSA,5644,1,87.1
CN,116,5300,NSA,5653,1,69
CN,116,5352,NSA,5773,1,121
CN,116,5601,NSA,5653,1,29
CN,116,5609,NSA,5773,1,55
CN,118,5647,NSA,5282,1,7
CN,118,5649,NSA,5775,1,9
CN,118,5650,NSA,5657,1,10
CN,118,5653,NSA,5835,1,18
CN,118,5654,NSA,5607,1,20
CN,118,5657,NSA,5823,1,23
CN,118,5658,NSA,5835,1,24
CN,118,5890,NSA,5319,1,46
CN,118,5892,NSA,1669,1,47.1
CN,118,5892,NSA,5842,1,47.1
CN,118,5901,NSA,5773,1,55
CN,118,5902,NSA,5657,1,56
CN,118,5904,NSA,5584,1,58
CN,118,5905,NSA,5174,1,59
CN,118,5906,NSA,5174,1,59.1
CN,118,5910,NSA,5850,1,64
CN,118,5911,NSA,5118,1,65
CN,118,5911,NSA,5633,1,65
CN,118,5913,NSA,5648,1,67
CN,118,5916,NSA,5838,1,73
CN,118,5918,NSA,5598,1,77
CN,118,5925,NSA,5596,1,85
CN,118,5925,NSA,5850,1,85
CN,118,5929,NSA,5648,1,88
CN,118,5929,NSA,5826,1,88
CN,118,5931,NSA,5633,1,92.1
CN,118,5938,NSA,5652,1,102
CN,118,5939,NSA,5217,1,103.1
CN,118,5943,NSA,5842,1,111
CN,118,5946,NSA,5775,1,116
CN,118,5950,NSA,5773,1,121
CN,118,5951,NSA,5838,1,122
CN,122,6103,NSA,5908,1,108
CN,122,6131,NSA,5584,1,58
CN,122,6187,NSA,5226,1,83
CN,122,6188,NSA,5596,1,85
CN,122,6197,NSA,5226,1,110
CN,124,6407,NSA,5525,1,33
CN,124,6410,NSA,5823,1,5
CN,124,6427,NSA,6051,1,87.1
CN,124,6437,NSA,4941,1,25
CN,124,6441,NSA,5853,1,52.1
