BirdID,Status,BreedGroupID,FieldPeriodID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,Accurate,Observer,HelperNumber,GroupSize,TerritoryNumber
497,BrM,450,30,757,21/08/2003,08,2003,09:44,F,13,90,1,3696,8,1,1,1,FI,781,1,CN,TRUE,CE,1,3,5
497,BrM,450,30,763,28/08/2003,08,2003,08:54,F,14,90,1,3703,8,1,1,1,FI,781,1,CN,TRUE,CE,1,3,5
497,BrM,570,34,34,21/08/2004,08,2004,09:44,F,13,90,1,4062,8,1,1,0,FI,968,1,CN,TRUE,CE,1,3,5
497,BrM,570,34,37,28/08/2004,08,2004,08:54,F,14,90,1,4069,8,1,1,0,FI,968,1,CN,TRUE,CE,1,3,5
497,BrM,2082,19,667,26/07/1995,07,1995,08:30,F,20,90,1,748,8,1,1,0,FI,2206,1,CN,TRUE,JT,0,2,5
497,BrM,2082,19,679,28/07/1995,07,1995,09:00,F,20,90,1,750,8,1,1,0,F,2206,1,CN,TRUE,JK,0,2,5
497,BrM,3766,75,171,10/08/2006,08,2006,09:50,F,9,60,1,4781,8,1,1,1,FI,1494,1,CN,TRUE,CE,1,3,5
499,BrM,197,25,374,20/07/1998,07,1998,16:15,F,7,60,1,1838,14,1,1,0,FI,348,1,CN,TRUE,KB,1,4,9
499,BrM,197,25,375,26/07/1998,07,1998,16:10,F,6,60,1,1844,14,1,1,0,F,348,1,CN,TRUE,KB,1,4,9
499,BrM,197,25,376,02/08/1998,08,1998,08:30,F,4,60,1,1851,14,1,1,0,F,348,1,CN,TRUE,KB,1,4,9
499,BrM,2205,21,599,25/07/1996,07,1996,10:05,F,4,60,1,1113,14,2,1,0,F,2170,1,CN,TRUE,PE,1,3,9
500,BrF,2100,19,656,09/08/1995,08,1995,14:20,F,2,90,0,1559,40,1,1,1,FI,2210,1,CN,TRUE,JT,1,4,29
500,BrF,2220,21,616,31/07/1996,07,1996,09:55,F,9,60,0,1916,40,1,1,0,F,2165,1,CN,TRUE,PE,1,3,29
501,BrM,188,25,429,09/09/1998,09,1998,08:40,F,6,60,1,1614,2,1,1,0,FI,135,2,CN,TRUE,KB,0,3,1.1
501,BrM,188,25,430,13/09/1998,09,1998,09:40,F,8,60,1,1618,2,1,1,0,FI,135,2,CN,TRUE,KB,0,3,1.1
502,BrF,366,28,1187,30/08/1999,08,1999,10:00,F,8,60,0,2244,25,1,1,0,FI,401,5,CN,TRUE,KB,0,3,19
502,BrF,2092,19,654,25/08/1995,08,1995,10:53,F,5,50,0,778,25,1,1,0,F,2208,1,CN,TRUE,JT,0,3,19
503,BrF,469,30,742,16/08/2003,08,2003,10:57,F,7,45,0,3691,33,1,1,1,F,728,1,CN,TRUE,CE,0,3,25
504,BrF,353,28,1176,12/09/1999,09,1999,16:15,F,7,60,0,2257,5,2,2,2,F,430,2,CN,TRUE,MF,1,3,3.1
507,BrM,32,22,358,12/08/1997,08,1997,09:27,F,10,60,1,1496,30,1,1,0,FI,34,2,CN,TRUE,KB,0,2,23
507,BrM,208,25,385,08/08/1998,08,1998,12:05,F,6,60,1,1857,30,1,1,1,F,196,1,CN,TRUE,DR,1,3,23
507,BrM,208,25,386,17/08/1998,08,1998,16:00,F,9,60,1,1866,30,1,1,1,F,196,1,CN,TRUE,DR,1,3,23
507,BrM,370,28,532,09/08/1999,08,1999,09:15,F,2,60,1,2223,30,1,1,1,F,413,2,CN,TRUE,MF,1,4,23
507,BrM,370,28,1208,30/07/1999,07,1999,11:55,F,8,60,1,2213,30,1,1,1,FI,413,2,CN,TRUE,KB,1,4,23
507,BrM,3782,75,140,04/08/2006,08,2006,14:47,F,8,90,1,4775,30,1,1,1,F,1440,1,CN,TRUE,KH,1,3,23
510,BrM,2112,19,649,02/09/1995,09,1995,11:33,F,13,60,1,783,59,2,1,0,F,2215,1,CN,TRUE,JK,1,4,42
511,BrF,219,25,392,08/08/1998,08,1998,10:20,F,6,60,0,1854,49,1,1,0,FI,224,1,CN,TRUE,DR,1,3,34
523,BrM,242,25,408,12/08/1998,08,1998,11:55,F,6,60,1,1853,83,1,1,1,FI,275,2,CN,TRUE,KB,0,2,56
523,BrM,242,25,409,24/08/1998,08,1998,16:48,F,13,60,1,1865,83,1,1,1,F,275,2,CN,TRUE,KB,0,2,56
524,BrF,116,22,361,18/08/1997,08,1997,09:10,F,3,60,0,1494,171,1,1,0,FI,21,2,CN,TRUE,KB,0,2,114
524,BrF,279,25,426,31/08/1998,08,1998,08:43,F,4,60,0,1872,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
524,BrF,279,25,427,01/09/1998,09,1998,09:58,F,2,60,0,1873,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
524,BrF,279,25,428,05/09/1998,09,1998,09:42,F,2,60,0,1877,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
524,BrF,442,28,1201,11/07/1999,07,1999,12:07,F,10,60,0,2186,171,1,1,1,FI,383,2,CN,TRUE,KB,2,4,114
