BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
5549,BrF,7592,2455,24/08/2016,08,2016,14:27,FeedingOffspring,14,60,0,2442,479,23785.20,23785.20,1,1,1,F,4855,1,CN,159,1,0,3,TRUE,CD
5549,BrF,7742,2499,11/07/2017,07,2017,15:37,FeedingOffspring,5,60,0,2763,479,92068.02,92068.02,1,1,1,F,4915,1,CN,164,1,0,3,TRUE,CD
5549,BrF,7984,2579,18/07/2018,07,2018,11:47,FeedingOffspring,5,60,0,3135,479,17837.56,17837.56,1,1,1,F,5123,1,CN,167,1,1,4,TRUE,AVE
5559,BrM,6763,1474,17/09/2014,09,2014,11:21,FeedingOffspring,3,60,1,1716,111,7616.90,7616.90,1,1,0,F,3221,1,CN,125,2,0,4,TRUE,SAK
5559,BrM,7064,1565,31/08/2015,08,2015,09:39,FeedingOffspring,11,60,1,2064,111,16565.28,16565.28,1,1,1,F,3587,4,CN,142,0,0,2,TRUE,KLB
5559,BrM,7064,1636,04/09/2015,09,2015,15:10,FeedingOffspring,7,60,1,2068,111,16565.28,16565.28,1,1,1,F,3587,4,CN,142,0,0,2,TRUE,FG
5575,BrF,6701,1487,23/08/2014,08,2014,13:26,FeedingOffspring,14,60,0,1465,75,6564.15,6564.15,1,1,1,F,3114,1,CN,125,1,0,3,TRUE,KLB
5582,BrM,6693,1501,04/09/2014,09,2014,09:24,FeedingOffspring,7,60,1,1398,110,25417.39,25417.39,1,1,1,F,3218,2,CN,125,1,0,3,TRUE,KLB
5583,BrM,6713,1383,24/08/2014,08,2014,09:10,FeedingOffspring,11,60,1,1385,159,28528.57,28528.57,1,1,1,FI,3129,1,CN,125,2,0,4,TRUE,MB
5583,BrM,6713,1399,30/08/2014,08,2014,11:37,FeedingOffspring,9,70,1,1391,159,28528.57,28528.57,1,1,1,F,3129,1,CN,125,2,0,4,TRUE,MB
5583,BrM,7589,2463,28/08/2016,08,2016,14:21,FeedingOffspring,4,60,1,2120,157,15804.56,15804.56,1,1,1,FI,4852,1,CN,159,1,0,3,TRUE,CD
5583,BrM,7589,2476,02/09/2016,09,2016,14:17,FeedingOffspring,2,60,1,2125,157,15804.56,15804.56,1,1,1,F,4852,1,CN,159,1,0,3,TRUE,KLB
5583,BrM,7993,2574,24/07/2018,07,2018,10:30,FeedingOffspring,2,60,1,2815,157,4819.76,4819.76,1,1,1,F,5132,1,CN,167,1,0,3,TRUE,AVE
5583,BrM,8007,2632,20/08/2018,08,2018,15:21,FeedingOffspring,1,60,1,2842,159,4615.71,4615.71,1,1,0,F,5146,1,CN,167,2,0,4,TRUE,AVE
5583,BrM,8007,2641,27/08/2018,08,2018,15:00,FeedingOffspring,1,60,1,2849,159,4615.71,4615.71,1,1,0,F,5146,1,CN,167,2,0,4,TRUE,TJB
5588,BrM,7586,2446,21/08/2016,08,2016,15:15,FeedingOffspring,12,60,1,2121,41,36084.78,36084.78,1,1,,FI,4847,1,CN,159,1,0,3,TRUE,KLB
5588,BrM,7586,2468,28/08/2016,08,2016,15:18,FeedingOffspring,11,60,1,2128,41,36084.78,36084.78,1,1,,F,4847,1,CN,159,1,0,3,TRUE,KLB
5589,BrF,7104,1531,24/07/2015,07,2015,10:07,FeedingOffspring,9,60,0,1727,80,19299.59,19299.59,1,1,1,F,3535,1,CN,142,0,0,2,TRUE,KLB
5589,BrF,7104,1590,30/07/2015,07,2015,08:30,FeedingOffspring,8,60,0,1733,80,19299.59,19299.59,1,1,1,F,3535,1,CN,142,0,0,2,TRUE,MPD
5590,BrM,7765,2508,10/08/2017,08,2017,08:48,FeedingOffspring,15,60,1,2355,40,50547.64,50547.64,1,1,1,F,4941,1,CN,164,1,0,3,TRUE,MH
5590,BrM,7765,2518,01/08/2017,08,2017,08:41,FeedingOffspring,11,60,1,2346,40,50547.64,50547.64,1,1,1,FI,4941,1,CN,164,1,0,3,TRUE,CD
5595,BrM,6139,1158,21/09/2013,09,2013,10:39,FeedingOffspring,10,60,1,935,26,25776.10,25776.10,1,1,0,FI,2757,1,CN,122,1,0,3,TRUE,SAK
5595,BrM,6450,1247,16/02/2014,02,2014,08:00,FeedingOffspring,4,60,1,1083,26,28546.99,28546.99,1,1,0,FI,2860,1,CN,124,1,0,3,TRUE,FG
5595,BrM,6450,1255,25/02/2014,02,2014,08:30,FeedingOffspring,9,60,1,1092,26,28546.99,28546.99,1,1,0,F,2860,1,CN,124,1,0,3,TRUE,FG
5595,BrM,7986,2581,15/07/2018,07,2018,15:19,FeedingOffspring,1,60,1,2693,26,5969.80,5969.80,1,1,0,FI,5125,1,CN,167,0,0,2,TRUE,AVE
5597,BrF,6736,1407,23/08/2014,08,2014,08:39,FeedingOffspring,12,60,0,1386,79,13363.90,13363.90,1,1,1,F,3157,1,CN,125,1,0,3,TRUE,MB
5597,BrF,6736,1479,16/08/2014,08,2014,13:45,FeedingOffspring,7,60,0,1379,79,13363.90,13363.90,1,1,1,FI,3157,1,CN,125,1,0,3,TRUE,KLB
5598,BrF,6693,1501,04/09/2014,09,2014,09:24,FeedingOffspring,10,60,0,1523,110,25417.39,25417.39,1,1,1,F,3218,2,CN,125,1,0,3,TRUE,KLB
5602,BrM,6736,1407,23/08/2014,08,2014,08:39,FeedingOffspring,5,60,1,1391,79,13363.90,13363.90,1,1,1,F,3157,1,CN,125,1,0,3,TRUE,MB
5602,BrM,6736,1479,16/08/2014,08,2014,13:45,FeedingOffspring,9,60,1,1384,79,13363.90,13363.90,1,1,1,FI,3157,1,CN,125,1,0,3,TRUE,KLB
5606,BrM,6695,1398,29/08/2014,08,2014,15:10,FeedingOffspring,4,70,1,1390,101,29969.26,29969.26,1,1,0,FI,3165,2,CN,125,1,0,3,TRUE,MB
5606,BrM,6695,1500,03/09/2014,09,2014,14:44,FeedingOffspring,9,60,1,1395,101,29969.26,29969.26,1,1,0,F,3165,2,CN,125,1,0,3,TRUE,KLB
5608,BrF,6414,1248,16/02/2014,02,2014,09:30,FeedingOffspring,11,60,0,1201,95,47785.63,47785.63,1,1,0,FI,2815,1,CN,124,0,0,2,TRUE,FG
