BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
1029,BrM,1,4987,828,27/08/2010,8,2010,14:40,Feeding_Offspring,11,60,5180,43,25237.18,25237.18,1,1,1,FI,2,CN,104,TRUE,0,2,4
5320,BrF,0,4987,828,27/08/2010,8,2010,14:40,Feeding_Offspring,8,60,796,43,25237.18,25237.18,1,1,1,FI,2,CN,104,TRUE,0,2,4
1029,BrM,1,4987,829,31/08/2010,8,2010,12:00,Feeding_Offspring,13,60,5184,43,25237.18,25237.18,1,1,1,FI,2,CN,104,TRUE,0,2,4
5320,BrF,0,4987,829,31/08/2010,8,2010,12:00,Feeding_Offspring,15,60,800,43,25237.18,25237.18,1,1,1,FI,2,CN,104,TRUE,0,2,4
1869,BrM,1,5048,830,01/09/2010,9,2010,11:15,Feeding_Offspring,15,60,2582,154,9998.07,9998.07,1,1,1,FI,1,CN,104,TRUE,0,1,3
5324,BrF,0,5048,830,01/09/2010,9,2010,11:15,Feeding_Offspring,7,60,550,154,9998.07,9998.07,1,1,1,FI,1,CN,104,TRUE,0,1,3
2966,BrM,1,4975,832,03/09/2010,9,2010,12:00,Feeding_Offspring,14,60,2381,24,35976.54,35976.54,1,1,0,FI,2,CN,104,TRUE,0,0,2
5164,BrF,0,4975,832,03/09/2010,9,2010,12:00,Feeding_Offspring,6,60,1049,24,35976.54,35976.54,1,1,0,FI,2,CN,104,TRUE,0,0,2
1881,BrM,1,5006,833,06/09/2010,9,2010,08:30,Feeding_Offspring,7,60,2572,70,30174.06,30174.06,1,1,0,F,3,CN,104,TRUE,0,0,2
5224,BrF,0,5006,833,06/09/2010,9,2010,08:30,Feeding_Offspring,11,60,832,70,30174.06,30174.06,1,1,0,F,3,CN,104,TRUE,0,0,2
1801,BrM,1,5046,834,06/09/2010,9,2010,10:00,Feeding_Offspring,12,60,2825,138,13895.69,13895.69,1,1,0,FI,2,CN,104,TRUE,1,0,3
3451,BrF,0,5046,834,06/09/2010,9,2010,10:00,Feeding_Offspring,10,60,1972,138,13895.69,13895.69,1,1,0,FI,2,CN,104,TRUE,1,0,3
